employee_id,age,attrition,daily_rate,distance_from_home,education,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_satisfaction,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,business_travel_Non-Travel,business_travel_Travel_Frequently,business_travel_Travel_Rarely,department_Human Resources,department_Research & Development,department_Sales,education_field_Human Resources,education_field_Life Sciences,education_field_Marketing,education_field_Medical,education_field_Other,education_field_Technical Degree,job_role_Healthcare Representative,job_role_Human Resources,job_role_Laboratory Technician,job_role_Manager,job_role_Manufacturing Director,job_role_Research Director,job_role_Research Scientist,job_role_Sales Executive,job_role_Sales Representative,marital_status_Divorced,marital_status_Married,marital_status_Single
456,-0.5,0,-0.34045584045584043,-0.16666666666666666,3,4,1,-0.9722222222222222,2,2,3,0.24000733406674002,-0.6946977645064967,-0.3333333333333333,0,-0.16666666666666666,3,3,3,0.1111111111111111,-1.0,3,0.8333333333333334,1.2,0.0,-0.2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
485,-0.25,1,-0.6538461538461539,-0.16666666666666666,3,4,1,-0.8611111111111112,3,1,3,-0.359002566923359,-0.39456056815430557,-0.3333333333333333,1,-0.16666666666666666,3,2,0,-0.8888888888888888,-1.0,3,-0.6666666666666666,-0.6,-0.3333333333333333,-0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1049,0.75,0,-0.029914529914529916,1.4166666666666667,4,2,0,-0.8055555555555556,3,1,2,-0.4825815914924826,-0.4617060769913647,-0.3333333333333333,0,0.3333333333333333,3,1,0,-0.3333333333333333,0.0,3,0.16666666666666666,0.0,-0.3333333333333333,0.2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1102,-0.6666666666666666,0,0.1225071225071225,0.6666666666666666,2,1,0,-0.4166666666666667,3,1,3,-0.4770810414374771,0.681381647970301,-0.3333333333333333,0,0.3333333333333333,3,4,1,-0.5555555555555556,2.0,2,-0.16666666666666666,-0.2,0.3333333333333333,-0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
806,-0.5,0,0.15954415954415954,-0.5,3,4,0,-0.75,1,1,3,-0.17895122845617895,0.8341538213219272,0.3333333333333333,0,1.1666666666666667,4,3,2,-0.2222222222222222,-1.0,3,-0.5,-0.2,-0.3333333333333333,-0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
437,-0.75,0,0.8091168091168092,-0.4166666666666667,3,4,0,0.25,3,2,3,-0.06068940227356069,-0.7099507707206844,-0.3333333333333333,1,-0.5,3,1,0,-0.4444444444444444,0.0,3,0.0,0.2,-0.3333333333333333,0.2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
606,0.75,0,-0.35327635327635326,-0.4166666666666667,3,4,0,-0.1111111111111111,3,2,2,-0.0007334066740007334,0.1725445888144621,-0.6666666666666666,0,0.8333333333333334,3,2,1,0.0,0.0,4,0.5,0.8,0.6666666666666666,0.8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
267,0.08333333333333333,0,-0.7393162393162394,1.1666666666666667,3,2,0,0.0,4,1,1,-0.22827282728272827,0.7213299975788879,-0.3333333333333333,1,-0.3333333333333333,3,1,1,-0.1111111111111111,0.0,2,0.5,0.8,0.0,0.8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1077,-1.3333333333333333,1,-0.05698005698005698,0.16666666666666666,3,4,1,-0.3055555555555556,3,1,4,-0.4558122478914558,0.25550803002179,-0.3333333333333333,1,0.0,3,2,0,-0.7777777777777778,0.0,3,-0.5,-0.2,-0.3333333333333333,-0.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1815,0.4166666666666667,0,-0.018518518518518517,-0.25,1,3,1,0.4444444444444444,3,3,3,1.0337367070040338,1.002259704624324,-0.6666666666666666,1,-0.16666666666666666,3,4,1,1.5555555555555556,0.0,4,2.8333333333333335,2.2,4.0,0.4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
91,1.9166666666666667,0,0.5925925925925926,-0.5,1,1,1,-0.2222222222222222,2,2,3,0.12174550788412175,0.8578000161407473,1.6666666666666667,0,-0.5,3,4,0,1.2222222222222223,-1.0,2,-0.16666666666666666,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1602,0.8333333333333334,0,-0.3504273504273504,-0.5,4,4,0,-0.25,4,4,1,2.3392005867253394,-0.8782987652328302,-0.3333333333333333,0,0.16666666666666666,3,2,0,2.0,2.0,1,3.5,-0.6,-0.3333333333333333,1.8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1425,0.0,0,0.51994301994302,-0.3333333333333333,4,1,1,0.9444444444444444,3,2,2,0.8193986065273194,0.5426519247841175,0.3333333333333333,1,0.3333333333333333,3,4,0,0.6666666666666666,0.0,3,0.0,0.2,-0.3333333333333333,-0.4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,-0.08333333333333333,0,0.0,0.75,3,1,0,0.5277777777777778,4,1,2,-0.4369270260359369,0.19691711726252925,-0.6666666666666666,0,-0.16666666666666666,3,3,1,-0.3333333333333333,2.0,3,0.0,0.2,-0.3333333333333333,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1771,-0.25,0,-0.04843304843304843,-0.25,3,4,0,0.6944444444444444,3,2,2,-0.3215988265493216,-0.6331208134936648,1.0,0,0.16666666666666666,3,4,2,0.2222222222222222,-1.0,2,0.6666666666666666,1.0,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1779,-0.16666666666666666,0,-0.42450142450142453,-0.3333333333333333,2,4,1,-0.9166666666666666,1,2,4,0.22368903557022368,0.9130820757001049,1.0,0,-0.3333333333333333,3,1,0,-0.3333333333333333,0.0,3,-0.5,-0.2,0.3333333333333333,-0.2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1761,-0.4166666666666667,1,0.38461538461538464,0.75,4,1,0,0.1388888888888889,3,3,3,0.6145947928126146,0.40053264466144783,0.0,0,-0.16666666666666666,3,1,3,0.1111111111111111,-1.0,3,-0.6666666666666666,-0.6,-0.3333333333333333,-0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
376,0.9166666666666666,1,-0.2037037037037037,1.8333333333333333,4,1,0,0.6388888888888888,3,3,2,1.290795746241291,-0.30433379065450733,-0.3333333333333333,1,-0.3333333333333333,3,4,1,0.1111111111111111,-1.0,2,0.8333333333333334,0.8,2.6666666666666665,1.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1201,1.4166666666666667,0,0.5897435897435898,0.0,2,4,1,-0.4166666666666667,3,5,3,2.5297029702970297,0.37131789201840043,0.3333333333333333,0,0.6666666666666666,3,2,1,1.8888888888888888,3.0,3,0.3333333333333333,0.8,1.0,0.8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1099,-0.25,0,-0.2207977207977208,-0.16666666666666666,3,4,0,-0.8611111111111112,2,3,4,0.4235423542354235,0.5790493099830523,0.6666666666666666,0,0.16666666666666666,3,3,1,0.0,-1.0,3,-0.3333333333333333,-0.2,0.0,-0.2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1807,-0.16666666666666666,1,-0.8190883190883191,0.16666666666666666,4,4,0,0.7777777777777778,3,2,1,0.09845984598459846,-0.6319909611815027,0.6666666666666666,0,0.5,3,3,1,0.2222222222222222,0.0,2,0.3333333333333333,-0.4,-0.3333333333333333,0.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1279,-1.25,1,-0.7948717948717948,0.25,2,1,1,-0.5555555555555556,2,1,3,-0.4004400440044004,0.9094504075538697,-0.3333333333333333,0,1.0,4,3,0,-0.7777777777777778,-1.0,1,-0.5,-0.2,0.3333333333333333,-0.2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
83,0.0,0,0.5897435897435898,0.08333333333333333,3,3,1,-0.16666666666666666,3,3,3,0.9693802713604693,-0.4710677104349931,-0.3333333333333333,0,-0.16666666666666666,3,2,3,0.8888888888888888,-1.0,3,2.0,2.2,3.6666666666666665,1.0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1346,0.3333333333333333,0,-0.4074074074074074,-0.4166666666666667,3,3,0,0.9166666666666666,3,2,4,-0.027136046938027136,0.67920264708256,-0.3333333333333333,0,-0.16666666666666666,3,3,0,0.0,1.0,3,0.6666666666666666,1.0,2.3333333333333335,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1784,-0.4166666666666667,0,-0.8732193732193733,1.8333333333333333,4,1,1,0.7222222222222222,2,2,4,0.12082874954162083,-0.051408280203373416,-0.3333333333333333,0,0.0,3,1,2,0.4444444444444444,0.0,3,1.1666666666666667,0.8,1.3333333333333333,0.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1966,-0.3333333333333333,0,0.8034188034188035,-0.16666666666666666,4,4,0,-0.25,2,2,4,0.892922625595893,-0.3148252764102978,2.0,0,1.6666666666666667,4,2,0,-0.1111111111111111,-2.0,3,-0.6666666666666666,-0.6,-0.3333333333333333,-0.6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1568,-0.5,0,0.6823361823361823,1.8333333333333333,4,3,0,-0.8888888888888888,3,3,2,0.8142647598093142,0.30344604955209425,0.3333333333333333,0,-0.3333333333333333,3,2,1,0.0,0.0,3,-0.16666666666666666,-0.2,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
556,0.16666666666666666,0,0.9700854700854701,-0.4166666666666667,2,4,0,-0.6388888888888888,3,1,4,-0.5696736340300697,-0.15600032281494633,-0.3333333333333333,1,1.5,4,3,1,-0.8888888888888888,0.0,3,-0.6666666666666666,-0.6,-0.3333333333333333,-0.6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1731,0.9166666666666666,0,-0.3789173789173789,-0.4166666666666667,4,3,0,0.6111111111111112,3,2,2,0.030986431976530986,-0.8476313453312888,1.6666666666666667,0,-0.5,3,4,1,-0.5555555555555556,0.0,1,-0.6666666666666666,-0.6,-0.3333333333333333,-0.6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
958,0.0,0,0.18376068376068377,-0.4166666666666667,4,3,0,0.3888888888888889,3,1,3,-0.4198753208654199,-0.14139294649342266,0.6666666666666666,0,1.1666666666666667,4,3,0,0.7777777777777778,3.0,3,1.0,1.0,0.6666666666666666,1.2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1135,-0.4166666666666667,0,-0.022792022792022793,1.0833333333333333,3,3,0,0.05555555555555555,4,1,4,-0.37000366703337,0.6409490759422162,-0.6666666666666666,0,-0.3333333333333333,3,1,1,-0.6666666666666666,1.0,3,-0.5,-0.2,0.3333333333333333,-0.2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
283,-0.5833333333333334,1,-0.98005698005698,1.6666666666666667,3,2,1,-0.8333333333333334,3,3,4,0.5188852218555189,0.8462593818093778,-0.3333333333333333,0,1.3333333333333333,4,4,3,0.1111111111111111,0.0,2,0.8333333333333334,0.2,0.0,1.2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
